Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Solidago pinetorum,"Small's Goldenrod, Early Goldenrod",Perennial,Herb,Up to about 3-1/2 feet tall.,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",Yes,,Yes,Yes,,Yes,,,,,Yes,Synchlora aerata,,,,Herb (perennial),False,False,False,False,False,False
Solidago ptarmicoides,"Prairie Goldenrod, Prairie Flat-top-goldenrod, Upland White Aster, Stiff Aster, Sneezewort Aster",Perennial,Herb,Up to about 18 inches tall.,,,"Neutral, sandy loams.",Attracts butterflies.,,,yes,"Divide vigorous, young plants in spring or fall. Seeds are slow to germinate.",Herbaceous perennial,Low,3.0,8.0,August,October,Yes,2–3,,,,,,Dry,,,,,,,,,,,,,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Herb (perennial),True,False,False,False,True,True
Solidago puberula,Downy Goldenrod,Perennial,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,Yes,,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Coleophora acuminatoides, Coleophora puberuloides, Eupithecia coagulata",,,,Herb (perennial),False,False,False,False,False,False
Solidago riddellii,Riddell's Goldenrod,Perennial,Herb,Up to about 3 feet tall.,,,,,,,,,Herbaceous perennial,Low,3.0,7.0,September,October,Yes,,,,,,,Wet,,,,,,,,,,,,,Medium,Adult Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies",Yes,,Yes,Yes,,,,,,,,,,,,Herb (perennial),True,False,False,True,True,False
Solidago rigida,"Stiff Goldenrod, Hard-leaf Goldenrod",Perennial,Herb,Up to about 5 feet tall.,,,"Easy care plant will do fine in all soil types, nutrient poor soil and acidic or neutral soil.",,,,,Divide plants in spring or fall or start from seed.,Herbaceous perennial,Medium,3.0,9.0,August,September,Yes,1–5,Moderate,Rhizomatous,Erect,No Color,Deciduous,Dry,Medium,,Medium,Medium,Rapid,"Spring, Summer",,No,High,High,Low/Low,"Seed, Bare root, Sprig",Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,"Gnorimoschema gibsoniella, Tischeria solidagonifoliella, Tricholita notata",,,,Herb (perennial),True,True,False,True,True,True
Solidago roanensis,"Roan Mountain Goldenrod, Mountain Goldenrod",Perennial,Herb,To about 3 feet in height.,,,,,,,,,,,,,,,Yes,0.6–1.5,,,,,,Dry,,,,,,,,,,,,,Medium,Adult Food,"Native Bees; Beetles, Wasps, Flies; Butterflies",Yes,,,Yes,,Yes,,,,,,,,,,Herb (perennial),True,False,False,False,False,False
Solidago rugosa,"Wrinkleleaf Goldenrod, Wrinkle-leaf Goldenrod, Rough-leaved Goldenrod, Roughleaf Goldenrod, Rough-stemmed Goldenrod, Roughstem Goldenrod",Perennial,Herb,Up to about 6 feet tall.,Medium,,Most well-drained soils.,,,,yes,"If seeds are sown fresh, plant outdoors. Germination is often poor so sow thickly.",Herbaceous perennial,Low,4.0,8.0,August,October,Yes,4–6,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Wet, Moist, Dry",Medium,,,Medium,Rapid,"Spring, Summer",,No,Medium,High,Low/Low,"Seed, Bare root, Sprig",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Coleophora puberuloides, Coleophora rugosae, Cremastobombycia solidaginis, Dichomeris leuconotella, Tischeria solidagonifoliella",,,,Herb (perennial),True,True,False,True,True,False
Solidago sempervirens,Seaside Goldenrod,Perennial,Herb,Up to about 6 feet tall.,Low,,Sandy soils.,,,,yes,,,,,,,,Yes,3.5,Short,Multiple Stem,Semi-Erect,Color,Deciduous,"Wet, Moist, Dry",Low,,High,Low,Moderate,"Spring, Summer",,No,Medium,High,Low/Low,"Seed, Container, Bare root, Sprig",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,"Coleophora acuminatoides, Coleophora triplicis, Gnorimoschema salinaris, Papaipema duovata, Papaipema rutila, Sparganothis distincta",,,,Herb (perennial),True,True,False,False,True,False
Solidago serotina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago shortii,Short's Goldenrod,,Herb,Up to about 4 feet tall.,,,,,,,,,Herbaceous perennial,Low,6.0,9.0,September,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,True,True
Solidago simplex,"Mt. Albert Goldenrod, Narrow Goldenrod",Perennial,Herb,Up to about 32 inches tall.,,,,,,,,,,,,,,,Yes,,,,,,,Dry,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Argyrotaenia francisana,,,,Herb (perennial),False,False,False,False,False,False
Solidago speciosa,"Showy Goldenrod, Noble Goldenrod",Perennial,Herb,Up to about 6 feet tall.,,,Rocky or clay soils.,This species attracts butterflies.,,,yes,"Seed germination may be increased with stratification, but this pre-treatment is not absolutely necessary. If planting untreated seed, be sure it is fresh. Propagate also by division.",Herbaceous perennial,Medium,3.0,8.0,July,September,Yes,1–6,,,,,,Dry,,,Medium,,,,,,,,,,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Herb (perennial),True,True,False,False,True,True
Solidago sphacelata,"Autumn Goldenrod, Golden Fleece",,Herb,Up to about 4 feet tall.,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,Tischeria solidagonifoliella,,,,Herb (perennial),False,False,False,False,False,False
Solidago squarrosa,Stout Goldenrod,Perennial,Herb,Up to about 5 feet tall.,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Herb (perennial),False,False,False,False,False,False
Solidago stricta,"Wand Goldenrod, Wand-like Goldenrod, Willowleaf Goldenrod",Perennial,Herb,From 1 to about 6 feet in height.,,,,,,,,,,,,,,,Yes,,,,,,,Wet,,,,,,,,,,,,,High,Adult Food; Larval Food,Native Bees; Butterflies; Monarchs; Larval Host (Moth),Yes,,,,,Yes,Yes,,,,Yes,Schinia nundina,,,,Herb (perennial),False,False,False,False,False,False
Solidago suaveolens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago uliginosa,Bog Goldenrod,Perennial,Herb,Up to about 6 feet tall.,,Acidic (pH<6.8),,,,,,,Herbaceous perennial,Low,4.0,8.0,August,October,Yes,2.5,Moderate,Rhizomatous,Erect,Color,Deciduous,Wet,High,,,Low,Moderate,"Spring, Summer, Fall",,No,Low,High,Low/Low,"Seed, Bare root, Sprig",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Dichomeris leuconotella, Gnorimoschema gallaeasterella",,,,Herb (perennial),True,True,False,True,True,False
Solidago ulmifolia,"Elmleaf Goldenrod, Elm-leaved Goldenrod",Perennial,Herb,Up to about 4 feet tall.,,,Rocky soils.,,,,,,Herbaceous perennial,Low,3.0,8.0,July,October,Yes,2–3,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Epiblema scudderiana,,,,Herb (perennial),True,True,True,False,True,True
Solidago verna,"Spring-flowering Goldenrod, Springflowering Goldenrod",,Herb,Up to about 4 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sophora affinis,"Eve's Necklace, Eve's Necklacepod, Texas Sophora, Pink Sophora, Necklace Tree",Perennial,Tree,"Up to about 30 feet tall, often shorter.",Low,,"Well-drained soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Limestone-based.","Flowers attact bees. Nesting site, Cover, Browse, Nectar-insects",,,yes,Sow scarified seed after the soil has warmed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Sophora secundiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sophora tomentosa,"Yellow Necklacepod, Yellow Sophora, Necklace Pod, Tambalisa",Perennial,Shrub,Up to about 6 feet tall.,Low,,"Sandy soils. Sandy, Sandy Loam, Medium Loam, Saline tolerant","Nectar-bees, Nectar-butterflies, Nectar-moths, Nectar-insects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Sorbus americana,"American Mountain Ash, American Mountain-ash",Perennial,Tree,"Up to about 30 feet tall, often much shorter.",Medium,,"Cool, moist, acid soils.",Berries attract birds.,,,yes,Plant seed in the spring. Germination is sporadic and probably will not take place until the following spring.,Deciduous shrub,Medium,3.0,6.0,May,May,Yes,10–30,Moderate,Single Stem,Erect,Color,Deciduous,"Moist, Dry",Medium,,,Medium,Moderate,"Spring, Summer",,Yes,Low,Low,High/Low,"Seed, Container, Bare root",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Acrobasis tricolorella, Euproctis chrysorrhoea, Euzophera semifuneralis, Hyalophora cecropia, Lomographa vestaliata, Lymantria dispar, Malacosoma americana, Orgyia antiqua, Papilio glaucus canadensis, Phyllonorycter crataegella, Podosesia syringae, Synanthedon pyri, Venusia cambrica, Venusia comptaria",,,,"Tree, Shrub",True,True,True,False,True,True
Sorbus arbutifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sorbus californica,California Mountain Ash,,Shrub,Up to about 13 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sorbus decora,"Northern Mountain Ash, Northern Mountain-ash, Showy Mountain-ash",Perennial,Tree,Up to about 50 feet tall.,,Circumneutral (pH 6.8-7.2),"Any poor- to well-drained, wet to mesic soil.","An intermediate source of food for songbirds, waterfowl and small mammals.x",,,,,Tree,Medium,2.0,6.0,May,May,Yes,40,Short,Single Crown,Oval,Color,Deciduous,"Moist, Dry",Low,Fine,,Medium,Slow,"Summer, Fall",Low,No,Low,Medium,Medium/Low,Seed,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,"Tree, Shrub",True,True,True,False,True,False
Sorbus dumosa,"Arizona Mountain Ash, Arizona Mountain-ash",,Shrub,"Up to about 25 feet tall, often much shorter.",,,"Moist, rich soils",,,,yes,Plant seed in the spring. Germination is sporadic and probably will not take place until the following spring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
Sorbus melanocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sorbus occidentalis,"Dwarf Mountain Ash, Western Mountain Ash",,Shrub,Up to about 13 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sorbus scopulina,"Greene's Mountain Ash, Cascade Mountain-ash, Western Mountain-ash",Perennial,Shrub,"Up to about 25 feet tall, often shorter.",Medium,,Rich soils.,"Grouse, cedar waxwings, and grosbeaks consume the berries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False
Sorbus sitchensis,"Western Mountain Ash, Sitka Mountain-ash",,Shrub,Up to about 12 feet tall.,,,"Moist to drier, well-drained soil.","Grouse, cedar waxwings & grosbeaks consume the berries.",,,yes,Usually propagated by seed sown fresh in fall or stored and stratified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False
Sorghastrum nutans,"Indiangrass, Yellow Indiangrass, Indian Grass",Perennial,Grass/Grass-like,Up to about 8 feet tall.,Medium,,"Moist, rich soils. Calcareous, Sandy Sandy Loam, Medium Loam, Clay Loam, Clay, Limestone-based","Seeds-Small mammals, Seeds-granivorous birds, Nesting material",yes,,yes,"Propagate by sowing unstratified seed in fall or stratified seed in spring. Sow 1/4"" deep. Division of older plants is difficult because of a dense, tangled root system.",Ornamental grass,Medium,4.0,9.0,September,February,No,3–8,Long,Bunch,Erect,No Color,Deciduous,"Moist, Dry",Medium,,Medium,Low,Moderate,"Summer, Fall",,No,Medium,High,Medium/High,Seed,Medium,Larval Food; Nesting and Structure (Bees),Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,Yes,,Yes,Yes,"Amblyscirtes hegon, Faronta albilinea, Faronta diffusa, Neonympha areolata",,,Yes,Graminoid (perennial),True,True,True,False,True,True
Sorghastrum secundum,Lopsided Indiangrass,Perennial,Grass/Grass-like,3 to 6 feet in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sparganium americanum,American Bur-reed,Perennial,Herb,Up to about 3 feet tall.,High,,"Clay, Loam, Sand","Birds, Other Showy Insects",,,,,,,,,,,No,3.2,Moderate,Colonizing,Erect,No Color,Deciduous,Wet,High,,,Low,Moderate,Spring,,No,,,Medium/,"Seed, Sprig",None Known,,Wind,,,,,,,,,,,,,,,Yes,Herb (perennial),True,True,False,True,False,False
Sparganium angustifolium,Narrowleaf Bur-reed,,Herb,"Up to about 6 feet long, usually floating.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sparganium eurycarpum,"Broadfruit Bur-reed, Giant Bur-reed, Great Bur-reed",Perennial,Herb,Up to about 8 feet tall.,High,,,,,,,,,,,,,,No,5,Moderate,Colonizing,Erect,No Color,Deciduous,Wet,High,,,Low,Moderate,Spring,,No,,,Medium/,"Seed, Sprig",None Known,,Wind,,,,,,,,,,,,,,,Yes,Herb (perennial),True,True,False,False,False,False
Spartina alterniflora,"Saltmarsh Cordgrass, Saltwater Cordgrass, Salt Cordgrass, Smooth Cordgrass",Perennial,Grass/Grass-like,"Normally 3 to 6 feet tall, but can grow to 8 feet, or can remain at less than 2 feet if ground is extremely salty.",High,"Alkaline (pH>7.2) , Acidic (pH<6.8)","Clay, Loam, Sand, Brackish to Salty",Geese feed on roots in winter. Leaves browsed by muskrats and deer. Seeds eaten by a variety of birds.,yes,,,,,,,,,,No,3.5,Moderate,Bunch,Erect,No Color,Deciduous,Wet,High,,High,Medium,Moderate,"Spring, Summer",,No,,High,Low/Medium,"Seed, Container, Sprig",Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Automeris louisiana, Chortodes enervata, Donacaula aquilellus, Poanes aaroni",,,Yes,Graminoid (perennial),True,True,False,True,False,False
Spartina bakeri,Sand Cordgrass,,Grass/Grass-like,Up to about 6 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Spartina cynosuroides,Big Cordgrass,,Herb,Up to about 11 feet tall.,,,"Clay, Loam, Sand",,,,,,,,,,,,No,8,Long,Rhizomatous,Erect,No Color,Deciduous,Wet,High,,High,Medium,Moderate,"Spring, Summer",,No,,High,Low/Low,"Bare root, Sprig",Low,Larval Food,Larval Host (Butterfly); Wind,,,,,,,,,,Yes,,Problema bulenta,,,Yes,Graminoid (perennial),True,True,False,True,False,False
Spartina patens,"Saltmeadow Cordgrass, Salt-meadow Cordgrass, Marsh-hay Cordgrass",Perennial,Grass/Grass-like,Up to about 5 feet tall.,High,,"Wet, sandy soils.",,,,yes,,,,,,,,No,2,Long,Rhizomatous,Erect,No Color,Deciduous,Wet,High,,High,Medium,Moderate,"Spring, Summer",,No,Low,High,Low/Low,"Container, Bare root, Sprig",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Doryodes bistrialis, Euxoa detersa",,,Yes,Graminoid (perennial),True,True,False,True,False,False
Spartina pectinata,"Prairie Cordgrass, Freshwater Cordgrass, Sloughgrass",Perennial,Grass/Grass-like,Up to about 8 feet tall.,High,,"Wet to moist, rich soils.",,,,yes,Propagate by seed or division.,Ornamental grass,Medium,4.0,9.0,July,August,No,8,Long,Rhizomatous,Erect,No Color,Deciduous,Wet,High,,Low,Medium,Rapid,"Spring, Summer",,No,Low,High,Low/Medium,"Seed, Sprig",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,"Choristoneura enervata, Hysterosia spartinana, Mesapamea stipata, Spartiniphaga inops",,,Yes,Graminoid (perennial),True,True,False,True,True,False
Spergularia marina,Salt Sandspurry,Annual,Herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sphaeralcea ambigua,"Desert Globemallow, Apricot Globe-mallow, Desert Mallow, Globe Mallow, Apricot Mallow",Perennial,Herb,Up to about 3 feet tall.,Low,,"Dry, rocky or sandy soils.",The large number of flowers produced over a year provides a steady source of pollen and,,,yes,"Plant untreated seed 1/4"" deep in fall. Usually will germinate in the winter and grow rapidly in the spring.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Sphaeralcea angustifolia,"Narrowleaf Globemallow, Copper Globemallow, Copper Mallow",Perennial,Herb,Up to about 6 feet tall.,Low,,"Calcareous, Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Gypseous","Browse, Nectar-Bees, Nectar-Butterflies, Nectar-insects, Seeds-Granivorous birds, Seeds-Small mammals.",,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Butterfly),Yes,,,,,,,,,Yes,,"Celotes limpia, Celotes nessus, Heliopetes ericetorum, Systasea pulverulenta",,,,"Shrub, Herb (perennial)",False,True,False,False,False,True
Sphaeralcea coccinea,"Scarlet Globemallow, Caliche Globemallow",Biennial,Shrub,Up to about 16 inches tall.,Low,,"Light, gravelly limestone or sandy clay soils.","Deer and pronghorn graze this plant, and birds and small mammals eat the fruits.",,,yes,Sow treated seed or take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Sphaeralcea munroana,"Munro's Globemallow, White-stem Globe-mallow",Perennial,Herb,Up to about 3 feet tall.,Low,,"Dry, rocky soils.",,,,yes,Propagate by seed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Sphenopholis filiformis,"Long-leaf Wedgescale, Longleaf Wedgescale, Southern Wedgegrass",,Grass/Grass-like,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sphenopholis obtusata,Prairie Wedgescale,,Grass/Grass-like,Up to about 4 feet tall.,Medium,,,,,,,,,,,,,,No,3.2,Short,Bunch,Erect,No Color,Deciduous,"Moist, Dry",Medium,,,Medium,Moderate,Spring,,No,Low,,Low/Low,"Seed, Container",None Known,,Wind,,,,,,,,,,,,,,,Yes,Graminoid (annual or perennial),True,True,False,False,False,False
Sphenopholis pensylvanica,"Swamp Oats, Swamp Wedgegrass, Swamp Wedgescale",,Grass/Grass-like,Up to about 4 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Spigelia marilandica,"Woodland Pinkroot, Pinkroot, Indian Pink",Perennial,Herb,Up to about 28 inches tall.,Medium,Acidic (pH<6.8),"Moist, sandy, fertile soils. Sandy, Sandy Loam, Medium Loam, Acid-based",Flowers attract hummingbirds.,,,yes,Propagate by spring-sown seed or by root division.,Herbaceous perennial,Low,5.0,9.0,June,June,,1.5–2,,,,,,Dry,,,,,,,,,,,,,Low,Adult Food,Hummingbirds,,,,,,,,,,,,,Yes,,,Herb (perennial),True,True,True,False,True,True
Spiraea × billiardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Spiraea alba,White Meadowsweet,Perennial,Shrub,Up to about 6-1/2 feet tall.,Medium,Circumneutral (pH 6.8-7.2),Wet soils.,Intermediate.,,,yes,,Deciduous shrub,Low,3.0,7.0,June,August,Yes,3–6,Moderate,Multiple Stem,Semi-Erect,No Color,Deciduous,"Wet, Moist",Medium,,,Low,Moderate,"Spring, Summer",Medium,Yes,Low,High,Low/Low,"Seed, Container, Bare root",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Acleris busckana, Acleris macdunnoughi, Acronicta noctivaga, Aphelia alleniana, Archips myricana, Celastrina argiolus lucia/neglecta, Cryptocala acadiensis, Diachrysia aereoides, Eupithecia anticaria, Eupithecia satyrata fumata, Eupithecia strattonata, Eurois astricta, Eurois occulta, Evora hemidesma, Harrisimemna trisignata, Hemileuca lucina, Hemileuca nevadensis -complex, Hyalophora cecropia, Lacinipolia lorea, Lithomoia solidaginis, Lithophane fagina, Lobesia spiraeae, Lycohotia phyllophora, Metarranthis duaria, Olethreutes albiciliana, Olethreutes valdanum, Oncocnemis piffardi, Orgyia antiqua, Orthosia revicta, Phlogophora periculosa, Phragmatobia lineata, Polia purpurissata, Probole amicaria, Protolampra rufipectus, Pseudohermonassa bicarnea, Sparganothis reticulatana, Sphinx gordius, Trichordestra tacoma, Xestia c-nigrum, Xestia normanianus, Xestia oblata, Xylena curvimacula, Xylena nupera",,,,Shrub,True,True,True,True,True,False
Spiraea betulifolia,White Spirea,,Shrub,Up to about 3 feet tall.,High,,,,,,,,Deciduous shrub,Low,5.0,8.0,May,July,Yes,3,Long,Multiple Stem,Erect,No Color,Deciduous,"Moist, Dry",High,,,Medium,Moderate,"Spring, Summer",Medium,Yes,Low,Medium,,"Seed, Container, Bare root",Low,Adult Food,Native Bees,Yes,,,,,,,,,,,,,,,Shrub,True,True,True,False,True,False
Spiraea californica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Spiraea corymbosa,Shinyleaf Meadowsweet,Perennial,Shrub,Up to about 5 feet tall.,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Moth),Yes,,,,,,,,,,Yes,Hyalophora cecropia,,,,Shrub,False,False,False,False,False,False
Spiraea densiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Spiraea discolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Spiraea douglasii,"Rose Spirea, Western Spiraea, Hardhack Spiraea",Perennial,Shrub,Up to about 10 feet tall.,Low,,Moist soils.,,,,yes,Propagate by seed or softwood cuttings. Offshoots from the creeping underground stems can be readily established.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,True,False
